organization_name,domain,sector,spf_status,spf_record,spf_qualifier,spf_qualifier_score,spf_lookup_count,spf_lookup_exceeds_limit,dmarc_status,dmarc_record,dmarc_policy,dmarc_policy_score,dmarc_subdomain_policy,dmarc_pct,dmarc_reporting_configured,dmarc_forensic_reporting_configured,dmarc_alignment_spf,dmarc_alignment_dkim
Department of Health,health.gov.ie,Central Government,found,v=spf1 a mx ip4:137.191.247.36 ip4:18.130.212.176 include:spf.protection.outlook.com ~all,~all,3,3,False,found,v=DMARC1; p=quarantine; pct=100; adkim=r; aspf=r; rua=mailto:dmarc_agg@vali.email,quarantine,3,quarantine,100,True,False,r,r
"Department of Housing, Local Government and Heritage",housing.gov.ie,Central Government,found,v=spf1 a mx ip4:137.191.226.88/29 ip4:137.191.229.96/28 ip4:159.183.33.34/32 include:spfext.itservices.gov.ie include:_spf.mlsend.com include:spf.protection.outlook.com ~all,~all,3,5,False,found,v=DMARC1; p=none; rua=mailto:dmarc@housing.gov.ie; ruf=mailto:dmarc@housing.gov.ie; ri=604800,none,2,none,100,True,True,r,r
"Department of Justice, Home Affairs and Migration",justice.ie,Central Government,found,v=spf1 ip4:137.191.252.74 ip4:137.191.252.75 -all,-all,4,0,False,found,v=DMARC1; p=none; pct=100; rua=mailto:dmarc@justice.ie;,none,2,none,100,True,False,r,r
"Department of Public Expenditure, Infrastructure, Public Service Reform and Digitalisation",per.gov.ie,Central Government,found,v=spf1 ip4:137.191.249.114 ip4:137.191.249.118 include:spfext.itservices.gov.ie include:_spf.createsend.com -all,-all,4,2,False,found,v=DMARC1; p=none;,none,2,none,100,False,False,r,r
Department of Rural and Community Development and the Gaeltacht,drcd.gov.ie,Central Government,found,v=spf1 ip4:137.191.249.114 ip4:137.191.239.66 ip4:137.191.248.232 include:spfext.itservices.gov.ie -all,-all,4,1,False,found,v=DMARC1; p=none;,none,2,none,100,False,False,r,r
Department of Social Protection,welfare.ie,Central Government,found,v=spf1 include:spf.protection.outlook.com include:_spf.circulator.com include:_spf2.circulator.com mx ip4:193.178.95.14 a:mail1.welfare.ie -all,-all,4,5,False,found,"v=DMARC1; p=reject; rua=mailto:e469da9c3a54521@rep.dmarcanalyzer.com,mailto:welfareie@rua.netcraft.com; ruf=mailto:e469da9c3a54521@for.dmarcanalyzer.com,mailto:welfareie@ruf.netcraft.com; fo=1;",reject,4,reject,100,True,True,r,r
Department of the Taoiseach,taoiseach.gov.ie,Central Government,timeout,,,,,,found,v=DMARC1; p=none; rua=mailto:l9nkyd7g@ag.dmarcian-eu.com; sp=none; ri=86400,none,2,none,100,True,False,r,r
Department of Transport,transport.gov.ie,Central Government,found,v=spf1 ip4:193.178.99.132 include:spfext.itservices.gov.ie include:spf.protection.outlook.com include:sendgrid.net -all,-all,4,3,False,found,v=DMARC1; p=none;,none,2,none,100,False,False,r,r
Carlow County Council,carlowcoco.ie,Local Government,found,v=spf1 include:_spf.mailersend.net include:spf.protection.outlook.com -all,-all,4,2,False,found,v=DMARC1; p=none; rua=mailto:dmarc@carlowcoco.ie; ruf=mailto:dmarc@carlowcoco.ie; fo=1; adkim=s; aspf=s;,none,2,none,100,True,True,s,s
Cavan County Council,cavancoco.ie,Local Government,found,v=spf1 a ip4:93.90.117.0/24  ip4:93.90.115.0/24 include:spf.topsec.com include:_spf.firmstep.com include:spf.protection.outlook.com include:sendersrv.com ip4:213.143.154.166 -all,-all,4,5,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
Clare County Council,clarecoco.ie,Local Government,found,v=spf1 include:spf.topsec.com include:spf.protection.outlook.com include:_spf.mlsend.com ip4:193.178.30.150 ip4:213.143.154.166 ip4:137.191.234.226 -all,-all,4,3,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1;,reject,4,reject,100,True,True,r,r
Cork City Council,corkcity.ie,Local Government,found,v=spf1 include:sendgrid.net include:spf.protection.outlook.com include:_spf.psm.knowbe4.com include:amazonses.com include:spf.mailjet.com include:eu.zcsend.net ip4:172.246.41.121 ip4:34.253.61.97 ip4:137.191.227.194 ip4:137.191.227.234 ip4:137.191.237.194 ip4:213.143.154.166 ~all,~all,3,6,False,found,v=DMARC1;p=none;sp=none;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,none,2,none,100,True,True,r,r
Cork County Council,corkcoco.ie,Local Government,found,v=spf1 mx include:spf.protection.outlook.com include:spf.topsec.com include:spf.mailjet.com include:spf.anu.net include:_spf.firmstep.com include:_spf.psm.knowbe4.com include:servers.mcsv.net include:em7259.corkcoco.ie ip4:137.191.236.2 ip4:193.120.143.138 ip4:213.143.154.166 -all,-all,4,9,False,found,v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:12c2c213@inbox.ondmarc.com; ruf=mailto:12c2c213@inbox.ondmarc.com;,reject,4,reject,100,True,True,r,r
Donegal County Council,donegalcoco.ie,Local Government,found,v=spf1 a ip4:137.191.242.34 ip4:137.191.242.39 ip4:137.191.242.120 include:spf.topsec.com include:spf.protection.outlook.com include:spf.mandrillapp.com include:spf2.tibus.net include:_spf.salesforce.com include:amazonses.com ip4:91.210.232.8 ip4:91.210.232.110 ip4:185.43.232.2 ip4:213.143.154.166 ~all,~all,3,7,False,found,v=DMARC1;p=reject;pct=100;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;ri=3600;fo=1,reject,4,reject,100,True,True,r,r
Dublin City Council,dublincity.ie,Local Government,timeout,,,,,,found,v=DMARC1;p=reject;sp=reject;adkim=s;aspf=s;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,s,s
Dún Laoghaire-Rathdown County Council,dlrcoco.ie,Local Government,found,v=spf1 include:eu._netblocks.mimecast.com include:spf.topsec.com include:spf.protection.outlook.com include:spf.mailjet.com ip4:213.143.154.166 ip4:51.254.190.26 ip4:51.254.190.10 ip4:51.254.190.13 ip4:52.17.60.159 ip4:99.81.217.139 ip4:142.93.129.113 -all,-all,4,4,False,found,"v=DMARC1; p=reject; rua=mailto:45ccfef76185555@rep.dmarcanalyzer.com,mailto:rua@dmarc.brevo.com; ruf=mailto:45ccfef76185555@for.dmarcanalyzer.com; fo=1;",reject,4,reject,100,True,True,r,r
Fingal County Council,fingal.ie,Local Government,found,v=spf1 mx include:spf.protection.outlook.com ip4:137.191.240.163 ip4:213.143.154.166 ip4:198.154.180.192/27 ip4:198.154.180.224/27 include:spf.mailjet.com include:mailgun.org include:spf.topsec.com -all,-all,4,5,False,found,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email; pct=100; fo=1;,reject,4,reject,100,True,False,r,r
Galway City Council,galwaycity.ie,Local Government,found,v=spf1 include:spf.mailjet.com a mx ptr ip4:137.191.242.66 ip4:137.191.242.71 include:spf.topsec.com include:spf.protection.outlook.com -all,-all,4,6,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
Galway County Council,galwaycoco.ie,Local Government,found,v=spf1 ip4:137.191.229.55 ip4:137.191.229.73 ip4:137.191.229.75 include:spf.protection.outlook.com include:_spf.psm.knowbe4.com include:amazonses.com include:spf.eu1.defend.egress.com -all,-all,4,4,False,found,v=DMARC1; p=quarantine; pct=100; adkim=r; aspf=r,quarantine,3,quarantine,100,False,False,r,r
Kerry County Council,kerrycoco.ie,Local Government,found,v=spf1 mx include:spf.protection.outlook.com a:mailgate.kerrycoco.ie include:authsmtp.com include:_spf.elasticemail.com include:amazonses.com -all,-all,4,6,False,found,v=DMARC1; p=reject; rua=mailto:gerry.jeewoonarain@kerrycoco.ie,reject,4,reject,100,True,False,r,r
Kildare County Council,kildarecoco.ie,Local Government,found,v=spf1 include:spf.protection.outlook.com include:spf.topsec.com ip4:213.143.154.166 -all,-all,4,2,False,found,v=DMARC1;p=reject;sp=reject;adkim=s;aspf=s;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,s,s
Kilkenny County Council,kilkennycoco.ie,Local Government,found,v=spf1 a mx include:spf.protection.outlook.com include:spf.topsec.com ip4:137.191.231.114 ip4:78.153.223.162 -all,-all,4,4,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
Laois County Council,laoiscoco.ie,Local Government,found,v=spf1 mx ip4:137.191.228.66 ip4:213.143.154.166 include:spf.protection.outlook.com include:spf.newsletter.ie a:dispatch-eu.ppe-hosted.com -all,-all,4,4,False,found,v=DMARC1;p=reject;rua=mailto:forensic@laoiscoco.ie;ruf=mailto:forensic@laoiscoco.ie;fo=1,reject,4,reject,100,True,True,r,r
Leitrim County Council,leitrimcoco.ie,Local Government,found,v=spf1 a include:_spf.firmstep.com include:spf.protection.outlook.com include:spf.topsec.com ip4:172.30.0.150 ip4:34.253.61.97 ip4:172.30.0.25 ip4:213.143.154.166 -all,-all,4,4,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
Limerick City and County Council,limerick.ie,Local Government,found,v=spf1 ip4:34.253.61.97 ip4:137.191.230.252 include:amazonses.com ip4:213.143.154.166 include:_spf.salesforce.com include:spf.protection.outlook.com include:sendgrid.net ip4:10.50.200.100 -all,-all,4,4,False,found,v=DMARC1; p=reject; rua=mailto:itsupport@limerick.ie; ruf=mailto:itsupport@limerick.ie; fo=1,reject,4,reject,100,True,True,r,r
Longford County Council,longfordcoco.ie,Local Government,found,v=spf1 include:spf.topsec.com include:spf.protection.outlook.com ip4:137.191.227.114 ip4:213.143.154.166 include:amazonses.com -all,-all,4,3,False,found,v=DMARC1;p=reject;sp=reject;fo=1,reject,4,reject,100,False,False,r,r
Louth County Council,louthcoco.ie,Local Government,found,v=spf1 a mx include:spf.topsec.com include:spf.protection.outlook.com a:mail.tascomi.com mx:tascomi.com a:oakdc-smtp-01.iii.com ip4:69.172.201.153 ip4:34.253.61.97 ip4:213.143.154.166 -all,-all,4,7,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
Mayo County Council,mayococo.ie,Local Government,found,v=spf1 include:spf.protection.outlook.com include:spf.topsec.com a ip4:137.191.225.163 ip4:34.253.61.97 ip4:89.185.145.185  ip4:213.143.154.166 ip4:137.191.225.162  a:mail.mindaclient.com include:nw008.com -all,-all,4,5,False,found,v=DMARC1;p=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1;,reject,4,reject,100,True,True,r,r
Meath County Council,meathcoco.ie,Local Government,found,v=spf1 include:_u.meathcoco.ie._spf.smart.ondmarc.com include:eu._netblocks.mimecast.com ~all,~all,3,2,False,found,v=DMARC1; p=reject; pct=100; sp=reject; rua=mailto:e288ef16@inbox.ondmarc.com; ruf=mailto:e288ef16@inbox.ondmarc.com; adkim=r; aspf=r; fo=0; rf=afrf; ri=3600,reject,4,reject,100,True,True,r,r
Monaghan County Council,monaghancoco.ie,Local Government,found,v=spf1 mx a:lgma.iii.com include:spf.protection.outlook.com include:spf.topsec.com ip4:34.253.61.97 ip4:137.191.243.34 ip4:137.191.243.37 ip4:137.191.243.39 ip4:137.191.243.44 ip4:54.240.11.149 IP4:46.51.176.10 ip4:213.143.154.166 -all,-all,4,4,False,found,"v=DMARC1;p=reject;rua=mailto:621dc3d1@inbox.ondmarc.com,mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:621dc3d1@inbox.ondmarc.com,mailto:211a5a2e44@ruf.easydmarc.eu;ri=3600;fo=1;",reject,4,reject,100,True,True,r,r
Offaly County Council,offalycoco.ie,Local Government,found,v=spf1 mx ip4:91.210.233.36 ip4:137.191.228.189 ip4:34.253.61.97 ip4:137.191.228.183 ip4:213.143.154.166 include:spf.topsec.com include:_spf.salesforce.com include:spf.protection.outlook.com include:servers.mcsv.net include:spf.mailjet.com  -all,-all,4,6,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1;adkim=s;aspf=s;,reject,4,reject,100,True,True,s,s
Roscommon County Council,roscommoncoco.ie,Local Government,found,v=spf1 ip4:213.143.154.166 ip4:137.191.236.194 include:spf.protection.outlook.com include:spf.topsec.com a:lgma.iii.com include:_spf.firmstep.com include:civica.com -all,-all,4,5,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
Sligo County Council,sligococo.ie,Local Government,found,v=spf1 ip4:213.143.154.166 include:spf.topsec.com include:spf.protection.outlook.com -all,-all,4,2,False,found,v=DMARC1;p=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
South Dublin County Council,sdublincoco.ie,Local Government,found,v=spf1 mx include:spf.protection.outlook.com include:_spf.psm.knowbe4.com include:_spf.4me.com include:_spf.4me.qa ip4:137.191.230.202 include:spf1.formassembly.com -all,-all,4,7,False,found,v=DMARC1;p=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
Tipperary County Council,tipperarycoco.ie,Local Government,found,v=spf1 include:spf.topsec.com include:spf.protection.outlook.com ip4:78.153.200.140 ip4:213.143.154.166 ip4:54.229.2.165 ip4:52.30.130.201 ip4:52.17.45.98 ip4:52.16.190.81 ip4:137.191.247.101 -all,-all,4,2,False,found,"v=DMARC1;p=reject;sp=reject;pct=100;rua=mailto:211a5a2e44@rua.easydmarc.eu,mailto:2795c7ae0ab540229f91e340c14bb0aa@dmarc-reports.cloudflare.net;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;ri=86400;fo=1",reject,4,reject,100,True,True,r,r
Waterford City and County Council,waterfordcouncil.ie,Local Government,found,v=spf1 include:spf.anu.net ip4:34.253.61.97 ip4:213.143.154.166 include:spf.topsec.com include:spf.protection.outlook.com  ~all,~all,3,3,False,found,v=DMARC1;p=none;sp=none;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1;,none,2,none,100,True,True,r,r
Westmeath County Council,westmeathcoco.ie,Local Government,found,v=spf1 a:dispatch-eu.ppe-hosted.com ip4:213.143.154.166/32 include:spf.protection.outlook.com ip4:137.191.235.130  ~all,~all,3,2,False,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,True,True,r,r
Wexford County Council,wexfordcoco.ie,Local Government,found,v=spf1 exists:%{i}.spf.hc1696-6.eu.iphmx.com include:spf.protection.outlook.com include:spf.blacknight.com include:_spf.firmstep.com a:extdms.wexfordcoco.ie -all,-all,4,5,False,found,"v=DMARC1;p=quarantine;sp=none;adkim=s;rua=mailto:itsecurity@wexfordcoco.ie,mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:itsecurity@wexfordcoco.ie,mailto:211a5a2e44@ruf.easydmarc.eu;ri=14400;fo=1",quarantine,3,none,100,True,True,r,s
Wicklow County Council,wicklowcoco.ie,Local Government,found,v=spf1 include:sendersrv.com include:_spf-eu.ppe-hosted.com include:_spf.mlsend.com mx include:spf.topsec.com include:spf.protection.outlook.com ip4:34.253.61.97 ip4:213.143.154.166 ip4:212.46.144.129 ip4:137.191.246.185 ip4:137.191.246.187 ip4:137.191.246.178 -all,-all,4,6,False,found,v=DMARC1;p=reject;rua=mailto:dmarc@paradyn.ie;ruf=mailto:dmarc@paradyn.ie;fo=1;,reject,4,reject,100,True,True,r,r
Atlantic Technological University,atu.ie,Education,found,v=spf1 include:spf.protection.outlook.com include:sendgrid.net include:spf1.atu.ie include:amazonses.com ip4:34.241.149.181 ip4:34.240.68.23 ip4:193.1.112.103 ip4:192.254.120.51 ip4:168.245.104.162 ip4:89.167.234.245 ip4:89.167.234.247 ip4:54.75.159.239 ip4:89.185.148.18 ip4:212.54.130.143 -all,-all,4,4,False,found,v=DMARC1; p=reject; sp=reject; ruf=mailto:dmarc@atu.ie; rua=mailto:dmarc@atu.ie,reject,4,reject,100,True,True,r,r
Dublin City University,dcu.ie,Education,timeout,,,,,,found,"v=DMARC1; p=reject; rua=mailto:dmarc@dcu.ie, mailto:xp52vxju@ag.eu.dmarcian.com",reject,4,reject,100,True,False,r,r
"Dun Laoghaire Institute of Art, Design and Technology",iadt.ie,Education,found,v=spf1 ip4:193.1.75.1/24 ip4:52.31.50.10 include:servers.mcsv.net a:sendgrid.unit4cloud.com ip4:168.245.121.45 include:spf.protection.outlook.com include:wpm.flywire.com include:eu._netblocks.mimecast.com include:25383427.spf10.hubspotemail.net ip4:193.1.74.201 include:_spf.bbnotify.net include:mh.blackboard.com -all,-all,4,8,False,found,v=DMARC1;p=quarantine;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,quarantine,3,quarantine,100,True,True,r,r
Dundalk Institute of Technology,dkit.ie,Education,found,v=spf1 include:spf.protection.outlook.com include:amazonses.com include:eu.transmail.net include:_tuf-spf.touchnet.com include:em6920.dkit.ie include:sendgrid.net include:spf1.dkit.ie -all,-all,4,7,False,found,v=DMARC1; p=quarantine; rua=mailto:postmaster@dkit.ie,quarantine,3,quarantine,100,True,False,r,r
Mary Immaculate College,mic.ul.ie,Education,found,v=spf1 ip4:193.1.98.40 include:spf.protection.outlook.com include:eu.zcsend.net ip4:193.1.102.160 ip4:193.1.102.174 ip4:193.1.101.155  ip4:193.1.101.156 -all,-all,4,2,False,found,v=DMARC1; p=reject ;pct=100 ; rua=mailto:ictalerts@mic.ul.ie,reject,4,reject,100,True,False,r,r
Maynooth University,mu.ie,Education,found,v=spf1 include:spf.protection.outlook.com ip4:149.157.0.0/22 ip4:149.157.7.0/24 ip4:149.157.67.0/24 a:maynoothcampus.com ip4:40.118.67.115/32 include:spf2.accessacloud.com ip4:208.117.55.132/32 include:_spfhosted.exlibrisgroup.com ip4:130.61.87.20 -all,-all,4,4,False,found,v=DMARC1; p=reject; pct=100; aspf=r; adkim=r; rua=mailto:dmarc_agg@vali.email;,reject,4,reject,100,True,False,r,r
Munster Technological University,mtu.ie,Education,found,v=spf1 include:_spf.mtu_ie._d.easydmarc.pro include:spf.protection.outlook.com -all,-all,4,2,False,found,v=DMARC1;p=quarantine;pct=100;rua=mailto:f01c6f08f6@rua.easydmarc.eu;ruf=mailto:f01c6f08f6@ruf.easydmarc.eu;ri=86400;fo=1;,quarantine,3,quarantine,100,True,True,r,r
National College of Art & Design,ncad.ie,Education,found,v=spf1 mx ip4:193.1.215.0/24 ip4:193.1.216.0/23  include:spf.elluciancloud.com  include:_spf.google.com  include:de._netblocks.mimecast.com -all,-all,4,4,False,found,v=DMARC1; p=quarantine; rua=mailto:83efedd9caba767@rep.dmarcanalyzer.com; ruf=mailto:83efedd9caba767@for.dmarcanalyzer.com; fo=1;,quarantine,3,quarantine,100,True,True,r,r
Royal College of Surgeons in Ireland,rcsi.ie,Education,found,v=spf1 include:_spf2.rcsi.ie include:_spf3.rcsi.ie include:_spf.google.com include:spf.protection.outlook.com include:spf-eu.emailsignatures365.com include:elluciancloud.com ~all,~all,3,6,False,found,v=DMARC1; p=none; rua=mailto:noc@rcsi.ie,none,2,none,100,True,False,r,r
South East Technological University,setu.ie,Education,found,v=spf1 include:spf.protection.outlook.com include:mailgun.org include:_tuf-spf.touchnet.com ip4:137.135.229.74 ip4:52.178.210.199 ip4:52.214.155.202 ip4:149.153.4.9 ip4:205.201.128.0/20 ip4:198.2.128.0/18 ip4:148.105.0.0/16 -all,-all,4,3,False,found,"v=DMARC1; p=quarantine; sp=none; fo=1; ri=3600; rua=mailto:e0dfc7d82aad45e59f6f20a4ecd4390f@dmarc-reports.cloudflare.net,mailto:DMARCAdmins@setu.ie; ruf=mailto:dmarc_agg@vali.email,mailto:DMARCAdmins@setu.ie;",quarantine,3,none,100,True,True,r,r
Technological University Dublin,tudublin.ie,Education,timeout,,,,,,found,v=DMARC1; p=reject; rua=mailto:xydjhcdp@ag.eu.dmarcian.com;,reject,4,reject,100,True,False,r,r
Technological University of the Shannon,tus.ie,Education,found,v=spf1 mx  ip4:193.1.187.229 ip4:193.1.204.215 ip4:52.19.242.175 ip4:54.247.168.53 ip4:91.210.234.4 include:spf.protection.outlook.com include:tcmailservice.targetconnect.net include:_spf.mindaclient.com include:spf.antispamcloud.com include:amazonses.com include:25573955.spf06.hubspotemail.net -all,-all,4,7,False,found,v=DMARC1;p=quarantine;rua=mailto:dmarc_reporting@tus.ie;ruf=mailto:dmarc_reporting@tus.ie;rf=afrf;pct=100,quarantine,3,quarantine,100,True,True,r,r
Trinity College Dublin,tcd.ie,Education,found,v=spf1 ip4:134.226.14.40 ip4:134.226.251.0/21 include:spf.protection.outlook.com include:_spf.google.com include:netaffinity.net include:_spf.eu.messagegears.net include:mh.blackboard.com -all,-all,4,5,False,found,"v=DMARC1; p=reject; sp=none; rua=mailto:dmarc_agg@vali.email, mailto:5e71390ec666207@rep.dmarcanalyzer.com; ruf=mailto:5e71390ec666207@for.dmarcanalyzer.com; fo=1;",reject,4,none,100,True,True,r,r
University College Cork,ucc.ie,Education,found,v=spf1 ip4:143.239.23.191 ip4:143.239.64.131 include:spf.protection.outlook.com -all,-all,4,1,False,found,"v=DMARC1;  p=reject; sp=quarantine; rua=mailto:z09tjnba@ag.eu.dmarcian.com,mailto:dmarc@ucc.ie; ruf=mailto:dmarc@ucc.ie; fo=1",reject,4,quarantine,100,True,True,r,r
University College Dublin,ucd.ie,Education,found,v=spf1 ip4:137.43.231.0/24 ip4:137.43.91.0/24 ip4:193.1.174.0/23 ip4:216.17.121.20 include:_spf.google.com include:spf.protection.outlook.com ip4:143.55.236.196/31 ~all,~all,3,2,False,found,v=DMARC1; p=none; rua=mailto:ucd.dmarcreport@ucd.ie,none,2,none,100,True,False,r,r
