organization_name,domain,sector,spf_status,spf_record,spf_qualifier,spf_qualifier_score,spf_lookup_count,spf_lookup_exceeds_limit,dmarc_status,dmarc_record,dmarc_policy,dmarc_policy_score,dmarc_subdomain_policy,dmarc_pct,dmarc_reporting_configured,dmarc_forensic_reporting_configured,dmarc_alignment_spf,dmarc_alignment_dkim,dkim_status,dkim_selector,dkim_record,dkim_key_type,dkim_key_bits,dkim_key_length_score,dkim_revoked,dkim_testing_mode
Department of Health,health.gov.ie,Central Government,found,v=spf1 a mx ip4:137.191.247.36 ip4:18.130.212.176 include:spf.protection.outlook.com ~all,~all,3,3,FALSE,found,v=DMARC1; p=quarantine; pct=100; adkim=r; aspf=r; rua=mailto:dmarc_agg@vali.email,quarantine,3,quarantine,100,TRUE,FALSE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDlUhfe5T465GEEICHKLjg9ecUxmTYJd3gqMBk86kr1nrI7GyfsIMOdzVXEPxY/AViTLo/EnNlvm2Gz+Djn/Y4PzuLuUuLuXMwMjT89gCIutak3b8hKD/BfuD9Q/tsMK1YbkuKVrFA/IHvoiMor2VnEBIF0OibCjRCekxBICkDKhQIDAQAB;,rsa,1024,2,FALSE,FALSE
"Department of Housing, Local Government and Heritage",housing.gov.ie,Central Government,found,v=spf1 a mx ip4:137.191.226.88/29 ip4:137.191.229.96/28 ip4:159.183.33.34/32 include:spfext.itservices.gov.ie include:_spf.mlsend.com include:spf.protection.outlook.com ~all,~all,3,5,FALSE,found,v=DMARC1; p=none; rua=mailto:dmarc@housing.gov.ie; ruf=mailto:dmarc@housing.gov.ie; ri=604800,none,2,none,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDqCvYsvEg1vctllJUKgLik18+7rA04t5Z6QEfp1YXWVg95vYDxy90EYPjamkg/lFIM97W17HCp2T+s9RTNQSIU01sOW7BwY78MlmbOQfCM88ezLT3/qE+jdjYba690sBLECmiPJbIGEEtGsJxgF0x8Rz7JLSeG66F738lRA/mSQQIDAQAB;,rsa,1024,2,FALSE,FALSE
"Department of Justice, Home Affairs and Migration",justice.ie,Central Government,found,v=spf1 ip4:137.191.252.74 ip4:137.191.252.75 -all,-all,4,0,FALSE,found,v=DMARC1; p=none; pct=100; rua=mailto:dmarc@justice.ie;,none,2,none,100,TRUE,FALSE,r,r,not_published,,,,,,,
"Department of Public Expenditure, Infrastructure, Public Service Reform and Digitalisation",per.gov.ie,Central Government,found,v=spf1 ip4:137.191.249.114 ip4:137.191.249.118 include:spfext.itservices.gov.ie include:_spf.createsend.com -all,-all,4,2,FALSE,found,v=DMARC1; p=none;,none,2,none,100,FALSE,FALSE,r,r,found,mail,k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeMVIzrCa3T14JsNY0IRv5/2V1/v2itlviLQBwXsa7shBD6TrBkswsFUToPyMRWC9tbR/5ey0nRBH0ZVxp+lsmTxid2Y2z+FApQ6ra2VsXfbJP3HE6wAO0YTVEJt1TmeczhEd2Jiz/fcabIISgXEdSpTYJhb0ct0VJRxcg4c8c7wIDAQAB,rsa,1024,2,FALSE,FALSE
Department of Rural and Community Development and the Gaeltacht,drcd.gov.ie,Central Government,found,v=spf1 ip4:137.191.249.114 ip4:137.191.239.66 ip4:137.191.248.232 include:spfext.itservices.gov.ie -all,-all,4,1,FALSE,found,v=DMARC1; p=none;,none,2,none,100,FALSE,FALSE,r,r,not_published,,,,,,,
Department of Social Protection,welfare.ie,Central Government,found,v=spf1 include:spf.protection.outlook.com include:_spf.circulator.com include:_spf2.circulator.com mx ip4:193.178.95.14 a:mail1.welfare.ie -all,-all,4,6,FALSE,found,"v=DMARC1; p=reject; rua=mailto:e469da9c3a54521@rep.dmarcanalyzer.com,mailto:welfareie@rua.netcraft.com; ruf=mailto:e469da9c3a54521@for.dmarcanalyzer.com,mailto:welfareie@ruf.netcraft.com; fo=1;",reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCwqr19vytbI0LiR/Kz+FsipX8DXJlIIF6MxC9dljxJIAipdQRk2YgqaPmKWEst3m1NYy7rIhkQwGpovvrC1F2BlH+TZhrL0pwGTFqIc3EgH6D5MK+/R3dTCnTurmKcNXWubFma5dl+zxn1l/mCFaQCDfZUDi04/lP4A06hBP9UlwIDAQAB; n=1024,1453335407,1469060207",rsa,1024,2,FALSE,FALSE
Department of the Taoiseach,taoiseach.gov.ie,Central Government,found,v=spf1 mx ip4:137.191.240.130 ip4:137.191.240.142 ip4:137.191.246.70 ip4:137.191.246.71 ip4:154.52.2.130 include:_spf.fortimailcloud.com include:spf.protection.outlook.com include:spf.newsletter.ie ~all,~all,3,7,FALSE,found,v=DMARC1; p=none; rua=mailto:l9nkyd7g@ag.dmarcian-eu.com; sp=none; ri=86400,none,2,none,100,TRUE,FALSE,r,r,found,dkim,v=DKIM1; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC+y7n+lBsfp3+7pVffifpk1C3cqRwAjH153QBcHdyPBlApKGD/5PPS9zzbUO5w3sKiiBLq4oJZXBACyPiQcaff5uDg6Mvo/n2JPW+nf/to8e0VJ+ztAqWt/IQKOFlB1JOwWks+wkN2HoPtM4T8Cqbg5ejhxCwmRpl1FFV3Biw/IwIDAQAB;,rsa,1024,2,FALSE,FALSE
Department of Transport,transport.gov.ie,Central Government,found,v=spf1 ip4:193.178.99.132 include:spfext.itservices.gov.ie include:spf.protection.outlook.com include:sendgrid.net -all,-all,4,4,FALSE,found,v=DMARC1; p=none;,none,2,none,100,FALSE,FALSE,r,r,found,mail,k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeMVIzrCa3T14JsNY0IRv5/2V1/v2itlviLQBwXsa7shBD6TrBkswsFUToPyMRWC9tbR/5ey0nRBH0ZVxp+lsmTxid2Y2z+FApQ6ra2VsXfbJP3HE6wAO0YTVEJt1TmeczhEd2Jiz/fcabIISgXEdSpTYJhb0ct0VJRxcg4c8c7wIDAQAB,rsa,1024,2,FALSE,FALSE
Carlow County Council,carlowcoco.ie,Local Government,found,v=spf1 include:_spf.mailersend.net include:spf.protection.outlook.com -all,-all,4,2,FALSE,found,v=DMARC1; p=none; rua=mailto:dmarc@carlowcoco.ie; ruf=mailto:dmarc@carlowcoco.ie; fo=1; adkim=s; aspf=s;,none,2,none,100,TRUE,TRUE,s,s,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCGfRhtQxRUaHcpbJWq8O8Z36wD2wPUZK8N3J1VnjUzJ6dNI9d8gqKYWh6pbYpNReLl2s7pHX+TYlDmDkCTnZXQMAQiImyhEc4VhiSLxWnwZbP73zlJI8ftOU8rjxhvEzcCm99/WwTgyyKWXBVE0n52VyJ0vhoGe1AhCxX2jcMq1wIDAQAB; n=1024,1450841807,1466653007",rsa,1024,2,FALSE,FALSE
Cavan County Council,cavancoco.ie,Local Government,found,v=spf1 a ip4:93.90.117.0/24  ip4:93.90.115.0/24 include:spf.topsec.com include:_spf.firmstep.com include:spf.protection.outlook.com include:sendersrv.com ip4:213.143.154.166 -all,-all,4,6,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,k2,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAv2aC2KjGKLOwTweBY5A9RpjsxaBXR9r7OAU6U8/zn92ivImI75naUujWbItRI/QmL1jy5PWGqLwoUA0b90ObWaLDc+i9MtTNmGeWO009hr20fIxhGg6XBT2kjZ1DTThopSe1nAndsupmcBwlQ5Q6LJ+ZAxLcujnPIxM0ZBLmgpkv8u6RfY4eFP8OLvdAW3oSuB0DyLDigQX4Sj8wBO4YIdQH6AAmBeOsidsKAFNFUCpc3vCxtBDR12U+cBg724l3sBkMQ8evnz6idnqxq9QAVYh8k4kJ+RP+6cqTdy7LjIm8xY/bQNpQIpGUAuDo2DjLcCDun9DAI4Q/3z+Q0o9QuQIDAQAB;,rsa,2048,3,FALSE,FALSE
Clare County Council,clarecoco.ie,Local Government,found,v=spf1 include:spf.topsec.com include:spf.protection.outlook.com include:_spf.mlsend.com ip4:193.178.30.150 ip4:213.143.154.166 ip4:137.191.234.226 -all,-all,4,3,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1;,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCdmrgEB9vbuR9zF/8VRwQzPG2pJxcyGWxq0iDdmqb+wHGSzcaQbdV1wllWz47YkeEc37BI9WlC2qo6DSSnp3DeD/FF+nixQ5eRRX/79UyUTlZ6nz2mIroOD5WUJZ5poNDfjq8zgHcq91mv/2SnsTp2haSNl/GnZBbv8Z3RUUfEnQIDAQAB;,rsa,1024,2,FALSE,FALSE
Cork City Council,corkcity.ie,Local Government,found,v=spf1 include:sendgrid.net include:spf.protection.outlook.com include:_spf.psm.knowbe4.com include:amazonses.com include:spf.mailjet.com include:eu.zcsend.net ip4:172.246.41.121 ip4:34.253.61.97 ip4:137.191.227.194 ip4:137.191.227.234 ip4:137.191.237.194 ip4:213.143.154.166 ~all,~all,3,7,FALSE,found,v=DMARC1;p=none;sp=none;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,none,2,none,100,TRUE,TRUE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDYIQreQTSWYNiuv8TAY+tE5QHERHE2nqYkoMW1VNR2SFSdecdk87EwjO4ENAuuMYEhF/CUFw8thpjqzrgKtH6aYcgG9v3/e4ADQNVlUWBcIHhY3UgWYc7ISO3Ujj8BoFQtamYECa3qkNm8PzyyeNB6TEQIq6oAqsGdRE06+guZ9QIDAQAB;,rsa,1024,2,FALSE,FALSE
Cork County Council,corkcoco.ie,Local Government,found,v=spf1 mx include:spf.protection.outlook.com include:spf.topsec.com include:spf.mailjet.com include:spf.anu.net include:_spf.firmstep.com include:_spf.psm.knowbe4.com include:servers.mcsv.net include:em7259.corkcoco.ie ip4:137.191.236.2 ip4:193.120.143.138 ip4:213.143.154.166 -all,-all,4,9,FALSE,found,v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:12c2c213@inbox.ondmarc.com; ruf=mailto:12c2c213@inbox.ondmarc.com;,reject,4,reject,100,TRUE,TRUE,r,r,found,mail,k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeMVIzrCa3T14JsNY0IRv5/2V1/v2itlviLQBwXsa7shBD6TrBkswsFUToPyMRWC9tbR/5ey0nRBH0ZVxp+lsmTxid2Y2z+FApQ6ra2VsXfbJP3HE6wAO0YTVEJt1TmeczhEd2Jiz/fcabIISgXEdSpTYJhb0ct0VJRxcg4c8c7wIDAQAB,rsa,1024,2,FALSE,FALSE
Donegal County Council,donegalcoco.ie,Local Government,found,v=spf1 a ip4:137.191.242.34 ip4:137.191.242.39 ip4:137.191.242.120 include:spf.topsec.com include:spf.protection.outlook.com include:spf.mandrillapp.com include:spf2.tibus.net include:_spf.salesforce.com include:amazonses.com ip4:91.210.232.8 ip4:91.210.232.110 ip4:185.43.232.2 ip4:213.143.154.166 ~all,~all,3,11,TRUE,found,v=DMARC1;p=reject;pct=100;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;ri=3600;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,selector1,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCeUmO/jeT4jInucWXVk4Z0kEhdfNJ1QHhrudXQtlu5/Wz4m2/+kWq2kr5b/H+l95p2b2RQ28QFBZ25snmoxkk4Usfm4ddHwi2sKfacjTfENGu4F9YJCe72IzsPVrc9OmuCyJC4vhp4Yuq8hGu0UTMUvfZ/Q+txuOa/7AryKm7YBwIDAQAB; n=1024,1490327541,1506225141",rsa,1024,2,FALSE,FALSE
Dublin City Council,dublincity.ie,Local Government,found,v=spf1 ip4:82.33.221.20 ip4:45.131.138.189 ip4:45.145.101.156 ip4:81.201.137.72 ip4:81.201.137.73 ip4:83.96.163.115 ip4:50.31.34.243 ip4:91.210.232.41 ip4:137.191.238.49 ip4:195.201.92.56 ip4:213.143.154.166 ip4:137.191.238.51 ip4:91.210.235.90 ip4:168.245.21.201 ip4:137.191.238.57 ip4:212.84.45.19 ip4:34.247.140.180 ip4:18.202.83.210 include:spf.topsec.com include:spf.blacknight.ie Include:spf.protection.outlook.com include:mail.zendesk.com -all,-all,4,9,FALSE,found,v=DMARC1;p=reject;sp=reject;adkim=s;aspf=s;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,s,s,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCp+XJXBd4kVHzIaBiN/s939p5Cpt2gYgF3n7MBWCo4VRNRsubgzrzhgQMTIJIv1qbAFJCP61fHTuOmEeIs8ZUPJTW/TKZLDtKDmHXfE6rehUr5M3Eql1NPlyM0XQtXviddlje1d/goB8ZFfOQHGGGk3ql5giRPIP/kIjElqzfqlQIDAQAB;,rsa,1024,2,FALSE,FALSE
Dún Laoghaire-Rathdown County Council,dlrcoco.ie,Local Government,found,v=spf1 include:eu._netblocks.mimecast.com include:spf.topsec.com include:spf.protection.outlook.com include:spf.mailjet.com ip4:213.143.154.166 ip4:51.254.190.26 ip4:51.254.190.10 ip4:51.254.190.13 ip4:52.17.60.159 ip4:99.81.217.139 ip4:142.93.129.113 -all,-all,4,4,FALSE,found,"v=DMARC1; p=reject; rua=mailto:45ccfef76185555@rep.dmarcanalyzer.com,mailto:rua@dmarc.brevo.com; ruf=mailto:45ccfef76185555@for.dmarcanalyzer.com; fo=1;",reject,4,reject,100,TRUE,TRUE,r,r,found,k2,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAv2aC2KjGKLOwTweBY5A9RpjsxaBXR9r7OAU6U8/zn92ivImI75naUujWbItRI/QmL1jy5PWGqLwoUA0b90ObWaLDc+i9MtTNmGeWO009hr20fIxhGg6XBT2kjZ1DTThopSe1nAndsupmcBwlQ5Q6LJ+ZAxLcujnPIxM0ZBLmgpkv8u6RfY4eFP8OLvdAW3oSuB0DyLDigQX4Sj8wBO4YIdQH6AAmBeOsidsKAFNFUCpc3vCxtBDR12U+cBg724l3sBkMQ8evnz6idnqxq9QAVYh8k4kJ+RP+6cqTdy7LjIm8xY/bQNpQIpGUAuDo2DjLcCDun9DAI4Q/3z+Q0o9QuQIDAQAB;,rsa,2048,3,FALSE,FALSE
Fingal County Council,fingal.ie,Local Government,found,v=spf1 mx include:spf.protection.outlook.com ip4:137.191.240.163 ip4:213.143.154.166 ip4:198.154.180.192/27 ip4:198.154.180.224/27 include:spf.mailjet.com include:mailgun.org include:spf.topsec.com -all,-all,4,9,FALSE,found,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email; pct=100; fo=1;,reject,4,reject,100,TRUE,FALSE,r,r,found,selector1,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDUa5W9CL0Vt4iFZuaEirr1kXplQc79U424R11suINQlkvrqqajwBCi9rYALr7oWsDNlxO2sAW/IEA0FUSSh8mkSetRxgUKrvkbhBuFxal9k//NSN9P9SgGiYqHlxtf+O6SEWH7OlB99Nix0ofx1rbac/6FSwOZhey6FbxsCoWDTwIDAQAB;,rsa,1024,2,FALSE,FALSE
Galway City Council,galwaycity.ie,Local Government,found,v=spf1 include:spf.mailjet.com a mx ptr ip4:137.191.242.66 ip4:137.191.242.71 include:spf.topsec.com include:spf.protection.outlook.com -all,-all,4,6,FALSE,found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1,reject,4,reject,100,TRUE,TRUE,r,r,found,k2,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAv2aC2KjGKLOwTweBY5A9RpjsxaBXR9r7OAU6U8/zn92ivImI75naUujWbItRI/QmL1jy5PWGqLwoUA0b90ObWaLDc+i9MtTNmGeWO009hr20fIxhGg6XBT2kjZ1DTThopSe1nAndsupmcBwlQ5Q6LJ+ZAxLcujnPIxM0ZBLmgpkv8u6RfY4eFP8OLvdAW3oSuB0DyLDigQX4Sj8wBO4YIdQH6AAmBeOsidsKAFNFUCpc3vCxtBDR12U+cBg724l3sBkMQ8evnz6idnqxq9QAVYh8k4kJ+RP+6cqTdy7LjIm8xY/bQNpQIpGUAuDo2DjLcCDun9DAI4Q/3z+Q0o9QuQIDAQAB;,rsa,2048,3,FALSE,FALSE
